action,price,timestamp,size,success
sell,1.25771,2022-05-23 10:00:00,1,True
reduce_short,1.25658,2022-05-23 15:00:00,1,True
reduce_short,1.25654,2022-05-23 17:00:00,1,True
sell,1.25739,2022-05-23 19:00:00,2,True
close_short,1.25811,2022-05-23 22:00:00,3,True
buy,1.25623,2022-05-24,1,True
close_long,1.25611,2022-05-24 03:00:00,1,True
sell,1.2568300000000001,2022-05-24 05:00:00,3,True
reduce_short,1.2577800000000001,2022-05-24 07:00:00,1,True
reduce_short,1.24862,2022-05-24 09:00:00,1,True
sell,1.24874,2022-05-24 12:00:00,1,True
reduce_short,1.25305,2022-05-24 16:00:00,1,True
sell,1.25296,2022-05-24 19:00:00,1,True
sell,1.25388,2022-05-24 22:00:00,1,True
close_short,1.2521499999999999,2022-05-25 01:00:00,3,True
buy,1.25385,2022-05-25 03:00:00,3,True
close_long,1.25325,2022-05-25 05:00:00,3,True
sell,1.25355,2022-05-25 07:00:00,1,True
sell,1.24831,2022-05-25 10:00:00,1,True
reduce_short,1.25393,2022-05-25 14:00:00,1,True
sell,1.25277,2022-05-25 16:00:00,2,True
reduce_short,1.2582200000000001,2022-05-25 18:00:00,2,True
sell,1.25739,2022-05-25 21:00:00,2,True
reduce_short,1.25831,2022-05-26 02:00:00,1,True
sell,1.25642,2022-05-26 04:00:00,1,True
reduce_short,1.25827,2022-05-26 07:00:00,2,True
sell,1.26121,2022-05-26 10:00:00,1,True
sell,1.25593,2022-05-26 12:00:00,1,True
close_short,1.25768,2022-05-26 14:00:00,3,True
sell,1.25705,2022-05-26 16:00:00,1,True
close_short,1.26028,2022-05-26 19:00:00,1,True
buy,1.26028,2022-05-26 21:00:00,2,True
reduce_long,1.26256,2022-05-27,1,True
buy,1.26561,2022-05-27 04:00:00,1,True
close_long,1.2615100000000001,2022-05-27 06:00:00,2,True
buy,1.26219,2022-05-27 08:00:00,3,True
reduce_long,1.25961,2022-05-27 10:00:00,2,True
close_long,1.26427,2022-05-27 13:00:00,1,True
sell,1.26076,2022-05-27 15:00:00,2,True
sell,1.26214,2022-05-27 18:00:00,1,True
reduce_short,1.26235,2022-05-27 21:00:00,2,True
sell,1.26235,2022-05-28 01:00:00,1,True
sell,1.26235,2022-05-28 05:00:00,1,True
reduce_short,1.26248,2022-05-29 22:00:00,2,True
sell,1.26237,2022-05-30,1,True
close_short,1.26243,2022-05-30 07:00:00,2,True
buy,1.2651,2022-05-30 09:00:00,3,True
close_long,1.26348,2022-05-30 11:00:00,3,True
sell,1.26347,2022-05-30 13:00:00,1,True
close_short,1.26621,2022-05-30 15:00:00,1,True
buy,1.266,2022-05-30 17:00:00,1,True
buy,1.2658,2022-05-30 19:00:00,1,True
close_long,1.2648300000000001,2022-05-30 21:00:00,2,True
sell,1.2641200000000001,2022-05-30 23:00:00,3,True
reduce_short,1.26182,2022-05-31 01:00:00,2,True
sell,1.26119,2022-05-31 03:00:00,1,True
reduce_short,1.25921,2022-05-31 06:00:00,1,True
sell,1.26082,2022-05-31 08:00:00,2,True
close_short,1.2629,2022-05-31 15:00:00,3,True
sell,1.2613,2022-05-31 17:00:00,1,True
close_short,1.26051,2022-05-31 19:00:00,1,True
