stop_loss,buy_threshold,sell_threshold,max_positions,prediction_steps,cumulative_profit_loss,number_of_trades,max_drawdown
0.97,1.0025,0.9925,3,15,0.21394570080382241,6,0.0
0.97,1.005,0.9975,1,5,0.07576034171742985,6,0.051891857400877525
0.97,1.005,0.9975,1,10,0.07748582588514502,5,0.04939299915496611
0.97,1.005,0.9975,1,15,0.004359988323195403,3,0.03424119429187689
0.97,1.005,0.9975,2,5,0.17104407081405537,12,0.07446065597313793
0.97,1.005,0.9975,2,10,0.017129114924241656,7,0.07294906337835291
0.97,1.005,0.9975,2,15,0.13574471324558213,4,0.0
0.97,1.005,0.9975,3,5,0.24470681936332056,12,0.03760582818807462
0.97,1.005,0.9975,3,10,0.4070043078007055,9,0.0
0.97,1.005,0.9975,3,15,0.2864068925294884,8,0.0
0.97,1.005,0.995,1,5,0.11272028553364358,5,0.02191343057364685
0.97,1.005,0.995,1,10,0.15858691479019335,6,0.02419011804729182
0.97,1.005,0.995,1,15,0.12246351026158966,5,0.03123363908876972
0.97,1.005,0.995,2,5,0.22410870129345895,9,0.05778824851850853
0.97,1.005,0.995,2,10,0.14316021540715668,7,0.046439574731810485
0.97,1.005,0.995,2,15,0.0704969320134783,5,0.0592726830047688
0.97,1.005,0.995,3,5,0.33994505624345855,12,0.03201311450165589
0.97,1.005,0.995,3,10,0.15718892365757525,8,0.016514547843123395
0.97,1.005,0.995,3,15,0.18548238360262317,5,0.0
0.97,1.005,0.9925,1,5,0.1150466903678308,4,0.009275196739715136
0.97,1.005,0.9925,1,10,0.1016727210466386,4,0.0176268340564871
0.97,1.005,0.9925,1,15,0.13438206642894138,4,0.02885683136222726
0.97,1.005,0.9925,2,5,0.22872535071279532,8,0.044349425556335254
0.97,1.005,0.9925,2,10,0.08145451443229991,6,0.059915660801974406
0.97,1.005,0.9925,2,15,0.13121703052545158,4,0.0
0.97,1.005,0.9925,3,5,0.14216764703612317,10,0.055706077254543435
0.97,1.005,0.9925,3,10,0.04379393476972219,8,0.05442068302750713
0.97,1.005,0.9925,3,15,0.032024057319769345,7,0.10202914389708798
0.97,1.0075,0.9975,1,5,0.0993164966258494,4,0.019412274063204338
0.97,1.0075,0.9975,1,10,0.09966770721772736,5,0.029488102950748663
0.97,1.0075,0.9975,1,15,0.06878848879693403,2,0.0
0.97,1.0075,0.9975,2,5,0.01009184769119497,6,0.0383121664589889
0.97,1.0075,0.9975,2,10,0.04214725301031885,6,0.04330935163951712
0.97,1.0075,0.9975,2,15,0.049196369626518036,4,0.0
0.97,1.0075,0.9975,3,5,0.07963270565415881,12,0.0954811177822111
0.97,1.0075,0.9975,3,10,0.0,3,0.0
0.97,1.0075,0.9975,3,15,0.04095143408166039,4,0.0
0.97,1.0075,0.995,1,5,0.04361727574007524,4,0.01799682395701217
0.97,1.0075,0.995,1,10,0.035670726172974045,2,0.0
0.97,1.0075,0.995,1,15,0.01778836624553725,2,0.0
