Gmt time,Open,High,Low,Close,Volume
02.06.2023 05:00:00.000,138.912,139.019,138.873,138.884,17573.6895
02.06.2023 06:00:00.000,138.885,138.946,138.788,138.854,13952.4404
02.06.2023 07:00:00.000,138.854,139.029,138.826,139.003,21574.5703
02.06.2023 08:00:00.000,139.005,139.105,138.794,138.825,19861.4707
02.06.2023 09:00:00.000,138.826,138.935,138.739,138.768,16094.4902
02.06.2023 10:00:00.000,138.768,138.900,138.750,138.889,11508.5996
02.06.2023 11:00:00.000,138.889,138.983,138.861,138.929,17792.3594
02.06.2023 12:00:00.000,138.930,139.451,138.731,139.246,50983.2383
02.06.2023 13:00:00.000,139.246,139.491,138.966,139.408,50662.4688
02.06.2023 14:00:00.000,139.407,139.688,139.261,139.652,31467.3906
02.06.2023 15:00:00.000,139.653,139.815,139.583,139.758,17690.0605
02.06.2023 16:00:00.000,139.758,139.905,139.743,139.889,14519.3203
02.06.2023 17:00:00.000,139.890,139.994,139.860,139.990,7067.6401
02.06.2023 18:00:00.000,139.990,140.070,139.892,139.924,10880.6699
02.06.2023 19:00:00.000,139.923,139.986,139.905,139.974,5592.8901
02.06.2023 20:00:00.000,139.972,139.986,139.911,139.911,4702.8501
04.06.2023 21:00:00.000,139.947,139.980,139.942,139.966,227.02
04.06.2023 22:00:00.000,139.965,140.096,139.965,140.062,4689.1602
04.06.2023 23:00:00.000,140.061,140.244,140.060,140.211,6413.2402
05.06.2023 00:00:00.000,140.213,140.262,140.082,140.109,17411.3906
05.06.2023 01:00:00.000,140.108,140.172,140.024,140.132,19100.3691
05.06.2023 02:00:00.000,140.131,140.237,140.093,140.112,13590.9902
05.06.2023 03:00:00.000,140.112,140.119,139.991,140.041,12216.1504
05.06.2023 04:00:00.000,140.042,140.141,140.037,140.080,11634.4102
05.06.2023 05:00:00.000,140.081,140.131,139.984,140.073,10608.1602
05.06.2023 06:00:00.000,140.073,140.355,140.073,140.340,24582.6309
05.06.2023 07:00:00.000,140.341,140.447,140.332,140.409,27663.3691
05.06.2023 08:00:00.000,140.409,140.453,140.196,140.262,23663.4004
05.06.2023 09:00:00.000,140.263,140.350,140.218,140.266,15334.4004
05.06.2023 10:00:00.000,140.266,140.388,140.243,140.277,13286.5
05.06.2023 11:00:00.000,140.277,140.378,140.228,140.265,14732.21
05.06.2023 12:00:00.000,140.264,140.299,140.121,140.166,18102.8594
05.06.2023 13:00:00.000,140.168,140.208,139.939,139.999,23953.9395
05.06.2023 14:00:00.000,139.993,139.993,139.248,139.662,45681.8984
05.06.2023 15:00:00.000,139.663,139.776,139.594,139.643,15929.0898
05.06.2023 16:00:00.000,139.643,139.750,139.504,139.710,10093.6299
05.06.2023 17:00:00.000,139.711,139.813,139.692,139.753,7290.02
05.06.2023 18:00:00.000,139.753,139.763,139.545,139.623,8768.5195
05.06.2023 19:00:00.000,139.621,139.640,139.479,139.549,6962.9302
05.06.2023 20:00:00.000,139.550,139.605,139.519,139.573,4053.47
05.06.2023 21:00:00.000,139.574,139.599,139.480,139.536,517.49
05.06.2023 22:00:00.000,139.539,139.597,139.446,139.449,5720.0801
05.06.2023 23:00:00.000,139.448,139.478,139.322,139.415,5214.21
06.06.2023 00:00:00.000,139.414,139.573,139.376,139.565,10931.4297
06.06.2023 01:00:00.000,139.564,139.655,139.529,139.583,9892.1797
06.06.2023 02:00:00.000,139.582,139.592,139.502,139.541,7595.2402
06.06.2023 03:00:00.000,139.539,139.551,139.458,139.547,5373.4502
06.06.2023 04:00:00.000,139.546,139.633,139.429,139.449,11117.25
06.06.2023 05:00:00.000,139.449,139.520,139.337,139.491,10942.4902
06.06.2023 06:00:00.000,139.489,139.500,139.275,139.323,15844.5098
06.06.2023 07:00:00.000,139.325,139.389,139.095,139.302,18643.6992
06.06.2023 08:00:00.000,139.303,139.324,139.122,139.210,13421.0801
06.06.2023 09:00:00.000,139.210,139.384,139.151,139.338,10886.4004
06.06.2023 10:00:00.000,139.338,139.461,139.294,139.441,8392.1201
06.06.2023 11:00:00.000,139.442,139.619,139.430,139.592,13974.71
06.06.2023 12:00:00.000,139.593,139.895,139.531,139.776,21885.9707
06.06.2023 13:00:00.000,139.777,139.953,139.629,139.921,25493.2109
06.06.2023 14:00:00.000,139.921,139.992,139.749,139.750,24791.4102
06.06.2023 15:00:00.000,139.751,139.840,139.599,139.669,20268.2695
06.06.2023 16:00:00.000,139.671,139.723,139.573,139.660,10307.9697
06.06.2023 17:00:00.000,139.661,139.754,139.642,139.712,10945.3301
06.06.2023 18:00:00.000,139.711,139.716,139.625,139.654,9037.5801
06.06.2023 19:00:00.000,139.655,139.692,139.622,139.681,5470.6699
06.06.2023 20:00:00.000,139.680,139.688,139.621,139.621,2790.1899
06.06.2023 21:00:00.000,139.621,139.653,139.580,139.624,677
06.06.2023 22:00:00.000,139.622,139.635,139.552,139.587,3913.6001
06.06.2023 23:00:00.000,139.587,139.622,139.521,139.522,3263.1899
07.06.2023 00:00:00.000,139.524,139.563,139.375,139.376,17714.0293
07.06.2023 01:00:00.000,139.377,139.381,139.182,139.329,23064.0293
07.06.2023 02:00:00.000,139.329,139.362,139.182,139.191,15721.7002
07.06.2023 03:00:00.000,139.189,139.314,139.167,139.305,11799
07.06.2023 04:00:00.000,139.305,139.313,139.150,139.254,11849.5996
07.06.2023 05:00:00.000,139.253,139.340,139.165,139.172,13076.0195
07.06.2023 06:00:00.000,139.171,139.339,139.125,139.246,17276.1309
07.06.2023 07:00:00.000,139.245,139.472,139.193,139.438,22640.7793
07.06.2023 08:00:00.000,139.438,139.495,139.359,139.364,18681.1406
07.06.2023 09:00:00.000,139.363,139.404,139.253,139.274,13037.9004
07.06.2023 10:00:00.000,139.274,139.408,139.244,139.377,15272.7803
07.06.2023 11:00:00.000,139.377,139.392,139.247,139.369,13842.4102
07.06.2023 12:00:00.000,139.370,139.628,139.366,139.553,27317.3203
07.06.2023 13:00:00.000,139.554,139.601,139.022,139.042,28101.7402
07.06.2023 14:00:00.000,139.042,139.733,139.032,139.724,45896.0781
07.06.2023 15:00:00.000,139.726,140.048,139.722,139.980,32880.8984
07.06.2023 16:00:00.000,139.978,140.200,139.952,140.188,15658.8496
07.06.2023 17:00:00.000,140.186,140.229,140.069,140.099,15507.2695
07.06.2023 18:00:00.000,140.100,140.185,140.078,140.120,12019.5498
07.06.2023 19:00:00.000,140.120,140.242,140.057,140.238,10792.7305
07.06.2023 20:00:00.000,140.240,140.245,140.056,140.056,4933.4502
07.06.2023 21:00:00.000,140.082,140.136,139.992,140.103,545.24
07.06.2023 22:00:00.000,140.103,140.225,139.994,140.009,8204.5195
07.06.2023 23:00:00.000,140.009,140.065,139.863,139.913,9487.4697
08.06.2023 00:00:00.000,139.913,140.025,139.844,139.929,21664.4609
08.06.2023 01:00:00.000,139.928,140.094,139.898,139.916,17975.3008
08.06.2023 02:00:00.000,139.916,139.971,139.853,139.870,9885.6504
08.06.2023 03:00:00.000,139.871,139.902,139.787,139.805,12847.6602
08.06.2023 04:00:00.000,139.804,139.824,139.704,139.729,12971.4805
08.06.2023 05:00:00.000,139.729,139.841,139.662,139.828,14865.0098
08.06.2023 06:00:00.000,139.829,139.952,139.788,139.867,17220.1797
08.06.2023 07:00:00.000,139.871,139.961,139.718,139.722,20537.3906
08.06.2023 08:00:00.000,139.722,139.801,139.621,139.730,16370.3604
08.06.2023 09:00:00.000,139.730,139.831,139.714,139.804,13274.9102
08.06.2023 10:00:00.000,139.801,139.812,139.696,139.791,11520.2197
08.06.2023 11:00:00.000,139.791,139.846,139.642,139.689,13302.9102
08.06.2023 12:00:00.000,139.689,139.749,139.220,139.415,30289.4297
08.06.2023 13:00:00.000,139.417,139.474,138.935,139.008,34087.4492
08.06.2023 14:00:00.000,139.009,139.175,138.880,138.980,28940.4902
08.06.2023 15:00:00.000,138.980,139.066,138.806,138.839,24307.4102
08.06.2023 16:00:00.000,138.837,138.986,138.835,138.913,16156.9199
08.06.2023 17:00:00.000,138.916,138.979,138.893,138.938,9640.7998
08.06.2023 18:00:00.000,138.937,138.992,138.922,138.937,7953.8501
08.06.2023 19:00:00.000,138.935,139.004,138.914,138.916,7673.5601
08.06.2023 20:00:00.000,138.915,138.928,138.877,138.919,2697.79
08.06.2023 21:00:00.000,138.918,138.918,138.873,138.888,559.26
08.06.2023 22:00:00.000,138.888,138.938,138.871,138.874,2769.0701
08.06.2023 23:00:00.000,138.871,138.883,138.757,138.883,4567.4702
09.06.2023 00:00:00.000,138.887,139.078,138.862,139.029,17492.6094
09.06.2023 01:00:00.000,139.028,139.254,138.999,139.221,17512.9609
09.06.2023 02:00:00.000,139.222,139.296,139.199,139.291,13376.5098
09.06.2023 03:00:00.000,139.288,139.298,139.216,139.268,13907.8701
09.06.2023 04:00:00.000,139.268,139.323,139.218,139.269,13017.4902
09.06.2023 05:00:00.000,139.268,139.384,139.233,139.306,15144.8896
09.06.2023 06:00:00.000,139.307,139.448,139.282,139.415,19173.4297
09.06.2023 07:00:00.000,139.412,139.601,139.407,139.560,31425.6504
09.06.2023 08:00:00.000,139.560,139.723,139.530,139.657,22492
09.06.2023 09:00:00.000,139.656,139.659,139.551,139.645,15930.9297
09.06.2023 10:00:00.000,139.645,139.648,139.528,139.530,16907.9492
09.06.2023 11:00:00.000,139.530,139.570,139.363,139.383,16434.1699
09.06.2023 12:00:00.000,139.384,139.427,139.028,139.295,28282.5996
09.06.2023 13:00:00.000,139.294,139.596,139.162,139.502,27873.5801
09.06.2023 14:00:00.000,139.502,139.558,139.302,139.383,31467.3809
09.06.2023 15:00:00.000,139.382,139.395,139.234,139.354,25176.4609
09.06.2023 16:00:00.000,139.355,139.401,139.276,139.357,14103
09.06.2023 17:00:00.000,139.354,139.365,139.290,139.323,7573.1699
09.06.2023 18:00:00.000,139.322,139.411,139.285,139.399,6725.5898
09.06.2023 19:00:00.000,139.398,139.478,139.376,139.440,5780.2402
09.06.2023 20:00:00.000,139.440,139.440,139.334,139.341,5295.0098
11.06.2023 21:00:00.000,139.271,139.459,139.241,139.384,385.74
11.06.2023 22:00:00.000,139.383,139.484,139.372,139.421,6040.21
11.06.2023 23:00:00.000,139.422,139.441,139.342,139.372,5744.3901
12.06.2023 00:00:00.000,139.372,139.404,139.264,139.404,12605.4902
12.06.2023 01:00:00.000,139.405,139.575,139.368,139.544,15346.8203
12.06.2023 02:00:00.000,139.545,139.642,139.515,139.538,13977.9404
12.06.2023 03:00:00.000,139.541,139.552,139.400,139.431,11312.1396
12.06.2023 04:00:00.000,139.432,139.474,139.349,139.461,10321.1504
12.06.2023 05:00:00.000,139.461,139.535,139.377,139.521,11908.0098
12.06.2023 06:00:00.000,139.520,139.565,139.443,139.495,14860.2695
12.06.2023 07:00:00.000,139.496,139.627,139.458,139.506,25977.8301
12.06.2023 08:00:00.000,139.506,139.532,139.159,139.203,21895.2109
12.06.2023 09:00:00.000,139.203,139.291,139.174,139.241,17921.1602
12.06.2023 10:00:00.000,139.241,139.241,139.062,139.193,19033.1309
12.06.2023 11:00:00.000,139.191,139.410,139.173,139.381,19097.2207
12.06.2023 12:00:00.000,139.384,139.394,139.087,139.202,23231.2695
12.06.2023 13:00:00.000,139.203,139.743,139.182,139.660,27902.6699
12.06.2023 14:00:00.000,139.661,139.718,139.530,139.618,31598.4609
